FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
19/02/2018,10,24,-99,20,32,18,-99,-99,-99,-99,24,-99,11,21,33,-99,-99,-99,-99,-99,22,-99,30,11,-99,19
19/02/2018,11,27,-99,21,28,20,-99,-99,-99,-99,28,-99,12,31,32,-99,-99,-99,-99,-99,24,-99,23,15,-99,22
19/02/2018,12,32,-99,25,27,19,-99,-99,-99,-99,33,-99,16,21,26,-99,-99,-99,-99,-99,23,-99,20,6,-99,30
19/02/2018,13,21,-99,23,24,22,-99,-99,-99,-99,35,-99,21,26,21,-99,-99,-99,-99,-99,26,-99,33,12,-99,32
19/02/2018,14,23,-99,25,20,23,-99,-99,-99,-99,26,-99,26,24,29,-99,-99,-99,-99,-99,22,-99,35,12,-99,27
19/02/2018,15,25,-99,22,24,25,-99,-99,-99,-99,25,-99,18,18,22,-99,-99,-99,-99,-99,24,-99,30,19,-99,23
19/02/2018,16,19,-99,25,27,24,-99,-99,-99,-99,26,-99,19,27,36,-99,-99,-99,-99,-99,24,-99,27,17,-99,24
19/02/2018,17,22,-99,25,22,24,-99,-99,-99,-99,25,-99,16,27,28,-99,-99,-99,-99,-99,27,-99,30,25,-99,28
19/02/2018,18,15,-99,22,25,23,-99,-99,-99,-99,25,-99,10,15,25,-99,-99,-99,-99,-99,16,-99,27,25,-99,27
19/02/2018,19,16,-99,17,17,18,-99,-99,-99,-99,22,-99,9,25,14,-99,-99,-99,-99,-99,17,-99,45,21,-99,32
19/02/2018,20,19,-99,16,21,18,-99,-99,-99,-99,20,-99,13,26,18,-99,-99,-99,-99,-99,13,-99,18,17,-99,27
19/02/2018,21,19,-99,17,18,16,-99,-99,-99,-99,19,-99,16,19,15,-99,-99,-99,-99,-99,16,-99,28,27,-99,18
19/02/2018,22,19,-99,19,16,16,-99,-99,-99,-99,17,-99,14,15,17,-99,-99,-99,-99,-99,19,-99,31,21,-99,25
19/02/2018,23,14,-99,14,17,21,-99,-99,-99,-99,22,-99,13,16,13,-99,-99,-99,-99,-99,14,-99,24,12,-99,21
19/02/2018,24,18,-99,17,12,18,-99,-99,-99,-99,19,-99,12,16,12,-99,-99,-99,-99,-99,9,-99,17,15,-99,35
20/02/2018,1,14,-99,12,18,21,-99,-99,-99,-99,20,-99,14,18,14,-99,-99,-99,-99,-99,9,-99,18,29,-99,36
20/02/2018,2,12,-99,17,24,22,-99,-99,-99,-99,20,-99,15,18,15,-99,-99,-99,-99,-99,12,-99,29,22,-99,35
20/02/2018,3,16,-99,15,20,18,-99,-99,-99,-99,24,-99,14,21,20,-99,-99,-99,-99,-99,13,-99,23,18,-99,31
20/02/2018,4,15,-99,21,19,17,-99,-99,-99,-99,18,-99,16,23,15,-99,-99,-99,-99,-99,16,-99,27,23,-99,35
20/02/2018,5,12,-99,18,21,18,-99,-99,-99,-99,16,-99,15,22,11,-99,-99,-99,-99,-99,12,-99,22,22,-99,43
20/02/2018,6,17,-99,18,16,18,-99,-99,-99,-99,16,-99,25,17,14,-99,-99,-99,-99,-99,13,-99,23,19,-99,38
20/02/2018,7,18,-99,18,17,20,-99,-99,-99,-99,18,-99,14,22,12,-99,-99,-99,-99,-99,14,-99,24,23,-99,32
20/02/2018,8,16,-99,19,11,22,-99,-99,-99,-99,21,-99,12,24,16,-99,-99,-99,-99,-99,15,-99,24,22,-99,37
20/02/2018,9,20,-99,18,22,19,-99,-99,-99,-99,19,-99,26,20,13,-99,-99,-99,-99,-99,17,-99,30,24,-99,-99
20/02/2018,10,23,-99,21,19,23,-99,-99,-99,-99,27,-99,14,25,15,-99,-99,-99,-99,-99,26,-99,34,22,-99,-99
20/02/2018,11,25,-99,23,25,18,-99,-99,-99,-99,31,-99,11,22,25,-99,-99,-99,-99,-99,17,-99,29,8,-99,-99
20/02/2018,12,24,-99,18,29,21,-99,-99,-99,-99,35,-99,23,16,23,-99,-99,-99,-99,-99,25,-99,26,12,-99,-99
20/02/2018,13,25,-99,30,33,24,-99,-99,-99,-99,33,-99,18,31,27,-99,-99,-99,-99,-99,25,-99,29,9,-99,-99
20/02/2018,14,26,-99,27,36,22,-99,-99,-99,-99,34,-99,15,36,29,-99,-99,-99,-99,-99,27,-99,22,9,-99,38
20/02/2018,15,26,-99,23,28,24,-99,-99,-99,-99,28,-99,16,19,35,-99,-99,-99,-99,-99,30,-99,26,13,-99,34
20/02/2018,16,18,-99,17,23,20,-99,-99,-99,-99,24,-99,15,23,28,-99,-99,-99,-99,-99,25,-99,29,20,-99,26
20/02/2018,17,13,-99,16,24,19,-99,-99,-99,-99,28,-99,14,24,16,-99,-99,-99,-99,-99,20,-99,16,21,-99,23
20/02/2018,18,14,-99,15,20,15,-99,-99,-99,-99,22,-99,13,12,14,-99,-99,-99,-99,-99,15,-99,28,17,-99,25
20/02/2018,19,14,-99,13,13,19,-99,-99,-99,-99,17,-99,12,17,14,-99,-99,-99,-99,-99,13,-99,34,25,-99,17
20/02/2018,20,11,-99,15,19,20,-99,-99,-99,-99,19,-99,14,20,21,-99,-99,-99,-99,-99,14,-99,29,28,-99,17
20/02/2018,21,12,-99,10,13,18,-99,-99,-99,-99,19,-99,12,14,18,-99,-99,-99,-99,-99,10,-99,4,27,-99,23
20/02/2018,22,15,-99,18,15,13,-99,-99,-99,-99,25,-99,13,13,15,-99,-99,-99,-99,-99,15,-99,16,22,-99,27
